tree,group,defol_class,defol_pct,transparency,dieback,epicormic,n_obs
FT01,Bokashi,3.0,62.5,40.0,32.5,0.0,2
FT02,Bokashi,2.0,32.5,30.0,25.0,0.0,2
FT03,Bokashi,1.0,17.5,22.5,15.0,0.0,2
HT07,Healthy,0.0,15.0,7.5,0.0,0.0,2
HT08,Healthy,0.0,25.0,27.5,0.0,1.0,2
HT09,Healthy,0.0,7.5,30.0,5.0,1.0,2
NFT04,Untreated,3.0,80.0,75.0,77.5,2.0,2
NFT05,Untreated,2.0,37.5,35.0,20.0,2.0,2
NFT06,Untreated,3.0,60.0,47.5,42.5,1.0,2
