tree,sample,group,leaf_chl_total,leaf_K,leaf_Mg,leaf_Zn,leaf_Mn,leaf_Cu,leaf_Al,soil_Al,soil_Cu,soil_Fe,soil_Mn,soil_Zn,soil_pH_KCl,soil_pH_CaCl2,soil_pH_demi,soil_NO3,soil_PO4,soil_NH4,earthworms,soil_water,infiltration,fung_abundance,fung_richness,fung_shannon,fung_evenness
T1,FT01,Bokashi,8.85,41.12340503811767,9.10048383390695,57.5861981582574,0.0227538014714971,0.4046613263014879,-0.8461412997013851,12.254339213131678,0.8313346351480273,2.039491444086586,1.3329008334010182,1.0636396904555474,3.14,3.31,4.7,9.17,5.96,7.75,200,4.26,4.305,589.0,5.0,0.865095278170441,0.53751391804986
T2,FT02,Bokashi,12.35,56.43825832045869,8.011790336246644,59.4152063976821,-0.1737859170977292,0.3715449651586309,-0.8772686715735888,18.314875715004163,0.7156077722015356,1.863234802526888,1.33557329385091,1.0221730493606391,3.4,3.36,4.57,10.3,4.22,5.37,800,4.517,39.075,109.666666666667,5.66666666666667,0.997149806413911,0.571942277961119
T3,FT03,Bokashi,10.62,40.83747547026309,5.694765952812902,10.325984096687616,0.4164630281427349,-0.2606848928422861,0.0683522110645492,9.779667269674716,0.6804454909511738,1.8312839459061463,1.3211184698045464,1.0613113860932322,3.17,3.33,4.72,8.49,4.69,8.64,400,5.603,37.854,163.333333333333,7.33333333333333,1.07326309227142,0.543048158982317
T4,NFT04,Untreated,11.8,41.20192416854961,6.1226900355628455,0.0809355915105454,0.5417594281926893,-0.426616349079151,0.4287100347418552,17.761021494001827,0.6347108665924582,2.0427913394792165,1.2615079728101823,1.0818715693316492,3.27,3.23,4.02,6.3,0.7000000000000001,1.58,700,2.21,28.148,100.333333333333,5.66666666666667,0.719532086424524,0.417408789143336
T5,NFT05,Untreated,8.37,31.66500138211977,4.857509979229618,-0.0436371668381894,0.5417433210705391,-0.3994343416885265,0.3670428836507626,18.77962927788346,0.6041957148176225,2.222744577838076,1.2731320209032515,1.0183957402599395,3.46,3.4,4.54,9.08,0.64,5.550000000000001,600,7.397,38.857,124.666666666667,6.66666666666667,1.26421617084729,0.66974781006747
T6,NFT06,Untreated,9.21,26.65022835965449,4.608855548025094,-0.0609964794137527,0.4443780937067113,-0.3063208993632405,0.3620072326232252,24.266840416022184,0.6028004226911778,2.030330905680075,1.2826450054112364,1.0270045818075928,3.08,3.1,4.09,11.6,1.36,8.49,800,7.38,18.719,285.0,6.0,1.01105735153233,0.571102817420143
T7,HT07,Healthy ref,13.66,44.66919352059186,5.020268971781215,9.571032889073589,0.0320319307675827,-0.035184744450328,0.0586047611395844,13.708161376641936,0.6523023867897052,2.3293008537836526,1.4446994956226749,1.168635615750839,3.1,3.22,4.18,18.6,12.8,3.47,300,,,211.333333333333,6.33333333333333,1.12582195512184,0.610796173052336
