Treatment,N,Mean_Chl_a,SD_Chl_a,Mean_Chl_b,SD_Chl_b,Mean_Total,SD_Total,Min_Total,Max_Total
Bokashi Treated,72,1.3081162500000003,0.3954690078754146,9.02320125,2.0095028086933104,10.608858750000001,2.369627471271688,5.643490000000002,16.33569
Healthy Reference,24,1.724675416666667,0.22775499532495666,11.579669583333333,1.8601395924324067,13.661956666666669,2.115679742992815,10.485600000000002,20.05295
Untreated (Unhealthy),72,1.1532119444444446,0.3544615422022413,8.387934999999999,2.3725739026813266,9.79718375,2.7274625431772725,5.06611,18.59682
