tree,sample,morphotype,replicate,count
T5,NFT05,medium black with little spots,3,1
T6,NFT06,medium black with little spots,1,0
T6,NFT06,medium black with little spots,2,0
T6,NFT06,medium black with little spots,3,3
T7,HT07,medium black with little spots,1,3
T7,HT07,medium black with little spots,2,1
T7,HT07,medium black with little spots,3,8
T1,FT01,flat white,1,0
T1,FT01,flat white,2,0
T1,FT01,flat white,3,1
T2,FT02,flat white,1,0
T2,FT02,flat white,2,2
T2,FT02,flat white,3,1
T3,FT03,flat white,1,1
T3,FT03,flat white,2,1
T3,FT03,flat white,3,1
T4,NFT04,flat white,1,2
T4,NFT04,flat white,2,0
T4,NFT04,flat white,3,1
T5,NFT05,flat white,1,5
T5,NFT05,flat white,2,4
T5,NFT05,flat white,3,6
T6,NFT06,flat white,1,3
T6,NFT06,flat white,2,0
T6,NFT06,flat white,3,0
T7,HT07,flat white,1,7
T7,HT07,flat white,2,4
T7,HT07,flat white,3,39
T1,FT01,flat white with pink edge,1,0
T1,FT01,flat white with pink edge,2,0
T1,FT01,flat white with pink edge,3,0
T2,FT02,flat white with pink edge,1,0
T2,FT02,flat white with pink edge,2,0
T2,FT02,flat white with pink edge,3,0
T3,FT03,flat white with pink edge,1,0
T3,FT03,flat white with pink edge,2,0
T3,FT03,flat white with pink edge,3,0
T4,NFT04,flat white with pink edge,1,0
T4,NFT04,flat white with pink edge,2,0
T4,NFT04,flat white with pink edge,3,0
T5,NFT05,flat white with pink edge,1,6
T5,NFT05,flat white with pink edge,2,0
T5,NFT05,flat white with pink edge,3,0
T6,NFT06,flat white with pink edge,1,0
T6,NFT06,flat white with pink edge,2,0
T6,NFT06,flat white with pink edge,3,0
T7,HT07,flat white with pink edge,1,0
T7,HT07,flat white with pink edge,2,0
T7,HT07,flat white with pink edge,3,6
T1,FT01,small dark pink,1,200
T1,FT01,small dark pink,2,100
T1,FT01,small dark pink,3,0
T2,FT02,small dark pink,1,10
T2,FT02,small dark pink,2,0
T2,FT02,small dark pink,3,30
T3,FT03,small dark pink,1,30
T3,FT03,small dark pink,2,40
T3,FT03,small dark pink,3,2
T4,NFT04,small dark pink,1,0
T4,NFT04,small dark pink,2,0
T4,NFT04,small dark pink,3,4
T5,NFT05,small dark pink,1,100
T5,NFT05,small dark pink,2,40
T5,NFT05,small dark pink,3,200
T6,NFT06,small dark pink,1,120
T6,NFT06,small dark pink,2,80
T6,NFT06,small dark pink,3,75
T7,HT07,small dark pink,1,75
T7,HT07,small dark pink,2,100
T7,HT07,small dark pink,3,1406
T1,FT01,flat pink,1,0
T1,FT01,flat pink,2,0
T1,FT01,flat pink,3,0
T2,FT02,flat pink,1,0
T2,FT02,flat pink,2,0
T2,FT02,flat pink,3,0
T3,FT03,flat pink,1,0
T3,FT03,flat pink,2,0
T3,FT03,flat pink,3,0
T4,NFT04,flat pink,1,0
T4,NFT04,flat pink,2,1
T4,NFT04,flat pink,3,5
T5,NFT05,flat pink,1,0
T5,NFT05,flat pink,2,0
T5,NFT05,flat pink,3,0
T6,NFT06,flat pink,1,0
T6,NFT06,flat pink,2,0
T6,NFT06,flat pink,3,0
T7,HT07,flat pink,1,0
T7,HT07,flat pink,2,0
T7,HT07,flat pink,3,6
