"group","tree","abundance","richness","shannon","simpson","evenness","is_FT01"
"Bokashi","FT01",589,5,0.865095278170441,0.49149471969166,0.53751391804986,TRUE
"Bokashi","FT02",109.666666666667,5.66666666666667,0.997149806413911,0.483485266673388,0.571942277961119,FALSE
"Bokashi","FT03",163.333333333333,7.33333333333333,1.07326309227142,0.525016840648708,0.543048158982317,FALSE
"Untreated","NFT04",100.333333333333,5.66666666666667,0.719532086424524,0.340916203092686,0.417408789143336,FALSE
"Untreated","NFT05",124.666666666667,6.66666666666667,1.26421617084729,0.618799261395121,0.66974781006747,FALSE
"Untreated","NFT06",285,6,1.01105735153233,0.567058750143057,0.571102817420143,FALSE
"Healthy","HT07",211.333333333333,6.33333333333333,1.12582195512184,0.604301776651664,0.610796173052336,FALSE
